"state_id","state_name","total_pop","females_16plus"
"AK","Alaska",732157,274057
"AL","Alabama",5024216,2118553
"AR","Arkansas",3011550,1233116
"AZ","Arizona",7152939,2919611
"CA","California",39536271,16240942
"CO","Colorado",5773997,2330165
"CT","Connecticut",3605944,1541534
"DC","District of Columbia",689545,315446
"DE","Delaware",990270,423986
"FL","Florida",21536064,9264921
"GA","Georgia",10712033,4447979
"HI","Hawaii",1455118,598176
"IA","Iowa",3191035,1284049
"ID","Idaho",1838341,719632
"IL","Illinois",12812477,5320725
"IN","Indiana",6785528,2753261
"KS","Kansas",2937772,1169219
"KY","Kentucky",4513190,1851306
"LA","Louisiana",4657278,1923385
"MA","Massachusetts",7029832,3043952
"MD","Maryland",6176902,2613131
"ME","Maine",1362217,586799
"MI","Michigan",10077306,4178463
"MN","Minnesota",5707031,2301482
"MO","Missouri",6155177,2535224
"MS","Mississippi",2961190,1235467
"MT","Montana",1084738,438778
"NC","North Carolina",10439413,4384643
"ND","North Dakota",778443,300250
"NE","Nebraska",1962468,774996
"NH","New Hampshire",1377619,586422
"NJ","New Jersey",9288994,3907628
"NM","New Mexico",2115093,866087
"NV","Nevada",3104486,1252756
"NY","New York",20201017,8661730
"OH","Ohio",11799441,4899580
"OK","Oklahoma",3959261,1587483
"OR","Oregon",4237097,1766634
"PA","Pennsylvania",13002700,5501314
"PR","Puerto Rico",3285280,1497219
"RI","Rhode Island",1097450,476371
"SC","South Carolina",5118425,2166645
"SD","South Dakota",884808,345512
"TN","Tennessee",6903473,2881734
"TX","Texas",29144347,11603102
"UT","Utah",3270238,1220019
"VA","Virginia",8631637,3597632
"VT","Vermont",643077,275529
"WA","Washington",7705271,3132617
"WI","Wisconsin",5893722,2410248
"WV","West Virginia",1793392,750058
"WY","Wyoming",576722,225931
